winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Kansas,-1.9384615384615382,13.0
Baylor,Gonzaga,Baylor,Oklahoma State,Texas,Baylor,Gonzaga,-2.0749999999999997,16.0
Kansas,Kansas,Baylor,Illinois,Alabama,Baylor,Kansas,-2.242857142857143,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Louisiana State,Baylor,Gonzaga,-2.3200000000000007,35.0
Gonzaga,Gonzaga,Illinois,Illinois,Connecticut,Baylor,Gonzaga,-2.4615384615384617,26.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,North Carolina,Gonzaga,-2.5466666666666664,15.0
Texas,Texas,Ohio State,Illinois,Texas,Ohio State,Gonzaga,-2.55,12.0
Iowa,Iowa,Baylor,Illinois,Texas,Baylor,Iowa,-2.6461538461538456,13.0
Gonzaga,Gonzaga,Baylor,Loyola (IL),Michigan,Baylor,Gonzaga,-2.7375000000000007,16.0
Gonzaga,Gonzaga,Baylor,Illinois,Brigham Young,Baylor,Gonzaga,-2.829411764705884,34.0
Michigan,Michigan,Illinois,Illinois,Michigan,Baylor,Kansas,-2.860869565217391,23.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Purdue,Gonzaga,-2.866666666666667,24.0
Arkansas,Gonzaga,Arkansas,Illinois,Michigan,Arkansas,Gonzaga,-2.9499999999999993,12.0
Baylor,Gonzaga,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,-2.9880000000000013,50.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,North Carolina,Gonzaga,-3.092857142857143,28.0
Kansas,Kansas,Illinois,Illinois,Michigan,Baylor,Kansas,-3.24,25.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Texas Tech,Gonzaga,-3.3499999999999996,16.0
Michigan,Michigan,West Virginia,West Virginia,Michigan,Ohio State,Gonzaga,-3.6625,16.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,North Carolina,Gonzaga,-3.6923076923076925,13.0
West Virginia,Gonzaga,West Virginia,West Virginia,Michigan,Baylor,Gonzaga,-3.7047619047619045,21.0
Gonzaga,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,-4.046850393700787,508.0
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Iowa,-4.152173913043479,46.0
Michigan,Michigan,Houston,Houston,Michigan,Ohio State,Virginia,-4.183333333333334,12.0
Ohio State,Texas,Ohio State,Illinois,Texas,Ohio State,Gonzaga,-4.327272727272727,11.0
