pool_id,bracket_id,Win Frequency,Cash Frequency,EV,1sigma,f4w,f4e,f4mw,f4s,f1,f2,winner
85,1,0.03,0.13,8.0,28.0,Gonzaga,Colorado,West Virginia,Baylor,Gonzaga,Baylor,Gonzaga
85,5,0.01,0.13,6.0,22.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
85,9,0.02,0.09,6.0,24.0,Kansas,Connecticut,Illinois,Ohio State,Kansas,Ohio State,Kansas
85,16,0.01,0.05,3.0,18.0,Gonzaga,Colorado,West Virginia,Ohio State,Gonzaga,West Virginia,West Virginia
85,11,0.01,0.07,3.0,16.0,Gonzaga,Texas,Oklahoma State,Baylor,Gonzaga,Oklahoma State,Gonzaga
85,24,0.01,0.04,3.0,18.0,Gonzaga,Michigan,Oklahoma State,North Carolina,Gonzaga,Oklahoma State,Oklahoma State
85,18,0.0,0.02,2.0,13.0,Oklahoma,Florida State,Houston,North Carolina,Oklahoma,Houston,Oklahoma
85,21,0.01,0.04,2.0,15.0,Iowa,Michigan,Houston,Texas Tech,Michigan,Texas Tech,Michigan
85,3,0.01,0.04,2.0,15.0,Iowa,Florida State,Oklahoma State,Baylor,Iowa,Baylor,Baylor
85,17,0.0,0.03,1.0,10.0,Gonzaga,Michigan State,West Virginia,Villanova,Gonzaga,West Virginia,Gonzaga
85,7,0.0,0.02,1.0,8.0,Gonzaga,Michigan,Drexel,North Carolina,Gonzaga,North Carolina,Gonzaga
86,8,0.15,0.38,33.0,54.0,Gonzaga,Alabama,Illinois,Ohio State,Gonzaga,Ohio State,Gonzaga
86,5,0.1,0.34,25.0,46.0,Gonzaga,Texas,Illinois,Baylor,Gonzaga,Illinois,Illinois
86,3,0.08,0.36,24.0,43.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
86,4,0.08,0.22,18.0,42.0,Gonzaga,Michigan,Houston,Baylor,Gonzaga,Houston,Gonzaga
86,24,0.05,0.26,17.0,37.0,Gonzaga,Texas,Illinois,Ohio State,Gonzaga,Illinois,Gonzaga
